repo,source,target
EgoCore,.p1_failure_attribution_tmp.py,asyncio
EgoCore,.p1_failure_attribution_tmp.py,tempfile
EgoCore,.p1_failure_attribution_tmp.py,pathlib
EgoCore,.p1_failure_attribution_tmp.py,app.runtime_v2.loop
EgoCore,.p1_failure_attribution_tmp.py,app.runtime_v2.action_protocol
EgoCore,.p1_parse_check_tmp.py,tempfile
EgoCore,.p1_parse_check_tmp.py,pathlib
EgoCore,.p1_parse_check_tmp.py,app.runtime_v2.action_protocol
EgoCore,app/agent_core/__init__.py,.context_builder
EgoCore,app/agent_core/__init__.py,.native_loop
EgoCore,app/agent_core/__init__.py,.contract_runtime
EgoCore,app/agent_core/context_builder.py,__future__
EgoCore,app/agent_core/context_builder.py,typing
EgoCore,app/agent_core/context_builder.py,app.session_store
EgoCore,app/agent_core/contract_runtime.py,__future__
EgoCore,app/agent_core/contract_runtime.py,json
EgoCore,app/agent_core/contract_runtime.py,re
EgoCore,app/agent_core/contract_runtime.py,time
EgoCore,app/agent_core/contract_runtime.py,uuid
EgoCore,app/agent_core/contract_runtime.py,dataclasses
EgoCore,app/agent_core/contract_runtime.py,pathlib
EgoCore,app/agent_core/contract_runtime.py,typing
EgoCore,app/agent_core/contract_runtime.py,app.tools
EgoCore,app/agent_core/contract_runtime.py,app.compaction
EgoCore,app/agent_core/contract_runtime.py,app.ingestion.artifact_store
EgoCore,app/agent_core/native_loop.py,__future__
EgoCore,app/agent_core/native_loop.py,asyncio
EgoCore,app/agent_core/native_loop.py,dataclasses
EgoCore,app/agent_core/native_loop.py,pathlib
EgoCore,app/agent_core/native_loop.py,typing
EgoCore,app/agent_core/native_loop.py,app.config
EgoCore,app/agent_core/native_loop.py,app.llm_client
EgoCore,app/agent_core/native_loop.py,app.tools
EgoCore,app/agent_core/native_loop.py,.contract_runtime
EgoCore,app/agent_core/native_loop.py,.context_builder
EgoCore,app/autonomy/__init__.py,.models
EgoCore,app/autonomy/__init__.py,.orchestrator
EgoCore,app/autonomy/__init__.py,.repository
EgoCore,app/autonomy/models.py,__future__
EgoCore,app/autonomy/models.py,dataclasses
EgoCore,app/autonomy/models.py,datetime
EgoCore,app/autonomy/models.py,enum
EgoCore,app/autonomy/models.py,typing
EgoCore,app/autonomy/models.py,uuid
EgoCore,app/autonomy/orchestrator.py,__future__
EgoCore,app/autonomy/orchestrator.py,asyncio
EgoCore,app/autonomy/orchestrator.py,logging
EgoCore,app/autonomy/orchestrator.py,time
EgoCore,app/autonomy/orchestrator.py,collections.abc
EgoCore,app/autonomy/orchestrator.py,typing
EgoCore,app/autonomy/orchestrator.py,.models
EgoCore,app/autonomy/orchestrator.py,.repository
EgoCore,app/bridges/openemotion_bridge.py,typing
EgoCore,app/bridges/openemotion_bridge.py,dataclasses
EgoCore,app/bridges/openemotion_bridge.py,datetime
EgoCore,app/bridges/openemotion_bridge.py,abc
EgoCore,app/bridges/openemotion_bridge.py,json
EgoCore,app/cli.py,asyncio
EgoCore,app/cli.py,sys
EgoCore,app/cli.py,typing
EgoCore,app/cli.py,app.runtime
EgoCore,app/command_router.py,typing
EgoCore,app/command_router.py,dataclasses
EgoCore,app/command_router.py,app.runtime.task_runtime
EgoCore,app/command_router.py,app.storage.models
EgoCore,app/command_router.py,app.integrations.openemotion.reply_injection
EgoCore,app/command_router.py,app.integrations.openemotion.injection_metrics
EgoCore,app/command_router.py,app.integrations.openemotion.event_mirror
EgoCore,app/command_router.py,logging
EgoCore,app/compaction/__init__.py,.contracts
EgoCore,app/compaction/__init__.py,.manager
EgoCore,app/compaction/contracts.py,__future__
EgoCore,app/compaction/contracts.py,dataclasses
EgoCore,app/compaction/contracts.py,typing
EgoCore,app/compaction/contracts.py,enum
EgoCore,app/compaction/contracts.py,time
EgoCore,app/compaction/contracts.py,hashlib
EgoCore,app/compaction/manager.py,__future__
EgoCore,app/compaction/manager.py,logging
EgoCore,app/compaction/manager.py,hashlib
EgoCore,app/compaction/manager.py,typing
EgoCore,app/compaction/manager.py,pathlib
EgoCore,app/compaction/manager.py,.contracts
EgoCore,app/config.py,os
EgoCore,app/config.py,sys
EgoCore,app/config.py,pathlib
EgoCore,app/config.py,typing
EgoCore,app/config.py,yaml
EgoCore,app/config.py,dotenv
EgoCore,app/core_bus/__init__.py,.events
EgoCore,app/core_bus/__init__.py,.message_bus
EgoCore,app/core_bus/__init__.py,.session_worker
EgoCore,app/core_bus/events.py,__future__
EgoCore,app/core_bus/events.py,dataclasses
EgoCore,app/core_bus/events.py,datetime
EgoCore,app/core_bus/events.py,typing
EgoCore,app/core_bus/events.py,uuid
EgoCore,app/core_bus/message_bus.py,__future__
EgoCore,app/core_bus/message_bus.py,asyncio
EgoCore,app/core_bus/message_bus.py,logging
EgoCore,app/core_bus/message_bus.py,typing
EgoCore,app/core_bus/message_bus.py,.events
EgoCore,app/core_bus/session_worker.py,__future__
EgoCore,app/core_bus/session_worker.py,asyncio
EgoCore,app/core_bus/session_worker.py,logging
EgoCore,app/core_bus/session_worker.py,collections
EgoCore,app/core_bus/session_worker.py,typing
EgoCore,app/core_bus/session_worker.py,.events
EgoCore,app/core_bus/session_worker.py,.message_bus
EgoCore,app/dashboard/__init__.py,app.dashboard.index_builder
EgoCore,app/dashboard/__init__.py,app.dashboard.server
EgoCore,app/dashboard/__init__.py,app.dashboard.types
EgoCore,app/dashboard/index_builder.py,__future__
EgoCore,app/dashboard/index_builder.py,json
EgoCore,app/dashboard/index_builder.py,re
EgoCore,app/dashboard/index_builder.py,collections
EgoCore,app/dashboard/index_builder.py,dataclasses
EgoCore,app/dashboard/index_builder.py,datetime
EgoCore,app/dashboard/index_builder.py,pathlib
EgoCore,app/dashboard/index_builder.py,typing
EgoCore,app/dashboard/index_builder.py,app.dashboard.types
EgoCore,app/dashboard/server.py,__future__
EgoCore,app/dashboard/server.py,json
EgoCore,app/dashboard/server.py,mimetypes
EgoCore,app/dashboard/server.py,http
EgoCore,app/dashboard/server.py,http.server
EgoCore,app/dashboard/server.py,pathlib
EgoCore,app/dashboard/server.py,typing
EgoCore,app/dashboard/server.py,urllib.parse
EgoCore,app/dashboard/server.py,app.dashboard.index_builder
EgoCore,app/dashboard/server.py,app.dashboard.types
EgoCore,app/dashboard/types.py,__future__
EgoCore,app/dashboard/types.py,dataclasses
EgoCore,app/dashboard/types.py,typing
EgoCore,app/handlers/social_chat_handler.py,logging
EgoCore,app/handlers/social_chat_handler.py,typing
EgoCore,app/handlers/social_chat_handler.py,egocore.contracts.interaction_event_envelope_v1
EgoCore,app/handlers/social_chat_handler.py,egocore.contracts.runtime_decision_envelope_v1
EgoCore,app/handlers/social_chat_handler.py,egocore.contracts.outward_response_package_v1
EgoCore,app/handlers/social_chat_handler.py,app.interaction.event_normalizer
EgoCore,app/handlers/social_chat_handler.py,app.openemotion.subject_adapter
EgoCore,app/handlers/social_chat_handler.py,app.openemotion_adapter.event_builder
EgoCore,app/handlers/social_chat_handler.py,app.openemotion_adapter.result_consumer
EgoCore,app/handlers/social_chat_handler.py,app.response.verbalizer_v3
EgoCore,app/handlers/social_chat_handler.py,app.response.question_verbalizer
EgoCore,app/handlers/social_chat_handler.py,app.response.relationship_context
EgoCore,app/handlers/social_chat_handler.py,app.response.style_profile
EgoCore,app/handlers/social_chat_handler.py,app.runtime.context_assembler
EgoCore,app/handlers/social_chat_handler.py,app.runtime.repair_context_manager
EgoCore,app/ingestion/__init__.py,.contracts
EgoCore,app/ingestion/__init__.py,.artifact_store
EgoCore,app/ingestion/__init__.py,.text_processor
EgoCore,app/ingestion/__init__.py,.manager
EgoCore,app/ingestion/artifact_store.py,__future__
EgoCore,app/ingestion/artifact_store.py,os
EgoCore,app/ingestion/artifact_store.py,hashlib
EgoCore,app/ingestion/artifact_store.py,json
EgoCore,app/ingestion/artifact_store.py,logging
EgoCore,app/ingestion/artifact_store.py,pathlib
EgoCore,app/ingestion/artifact_store.py,typing
EgoCore,app/ingestion/artifact_store.py,datetime
EgoCore,app/ingestion/artifact_store.py,.contracts
EgoCore,app/ingestion/contracts.py,__future__
EgoCore,app/ingestion/contracts.py,dataclasses
EgoCore,app/ingestion/contracts.py,typing
EgoCore,app/ingestion/contracts.py,enum
EgoCore,app/ingestion/contracts.py,time
EgoCore,app/ingestion/manager.py,__future__
EgoCore,app/ingestion/manager.py,logging
EgoCore,app/ingestion/manager.py,typing
EgoCore,app/ingestion/manager.py,dataclasses
EgoCore,app/ingestion/manager.py,.contracts
EgoCore,app/ingestion/manager.py,.artifact_store
EgoCore,app/ingestion/manager.py,.text_processor
EgoCore,app/ingestion/manager.py,app.compaction
EgoCore,app/ingestion/text_processor.py,__future__
EgoCore,app/ingestion/text_processor.py,re
EgoCore,app/ingestion/text_processor.py,logging
EgoCore,app/ingestion/text_processor.py,typing
EgoCore,app/ingestion/text_processor.py,dataclasses
EgoCore,app/ingestion/text_processor.py,.contracts
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.types
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.client
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.manager
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.adapter
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.fallback
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.injection_gate
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.plan_adapter
EgoCore,app/integrations/openemotion/__init__.py,app.integrations.openemotion.reply_injection
EgoCore,app/integrations/openemotion/adapter.py,typing
EgoCore,app/integrations/openemotion/adapter.py,datetime
EgoCore,app/integrations/openemotion/adapter.py,app.integrations.openemotion.types
EgoCore,app/integrations/openemotion/client.py,logging
EgoCore,app/integrations/openemotion/client.py,requests
EgoCore,app/integrations/openemotion/client.py,typing
EgoCore,app/integrations/openemotion/client.py,dataclasses
EgoCore,app/integrations/openemotion/client.py,datetime
EgoCore,app/integrations/openemotion/client.py,app.integrations.openemotion.types
EgoCore,app/integrations/openemotion/event_mirror.py,logging
EgoCore,app/integrations/openemotion/event_mirror.py,time
EgoCore,app/integrations/openemotion/event_mirror.py,typing
EgoCore,app/integrations/openemotion/event_mirror.py,dataclasses
EgoCore,app/integrations/openemotion/event_mirror.py,app.integrations.openemotion.client
EgoCore,app/integrations/openemotion/event_mirror.py,app.integrations.openemotion.types
EgoCore,app/integrations/openemotion/fallback.py,logging
EgoCore,app/integrations/openemotion/fallback.py,typing
EgoCore,app/integrations/openemotion/fallback.py,app.integrations.openemotion.types
EgoCore,app/integrations/openemotion/injection_gate.py,logging
EgoCore,app/integrations/openemotion/injection_gate.py,dataclasses
EgoCore,app/integrations/openemotion/injection_gate.py,typing
EgoCore,app/integrations/openemotion/injection_gate.py,enum
EgoCore,app/integrations/openemotion/injection_metrics.py,logging
EgoCore,app/integrations/openemotion/injection_metrics.py,dataclasses
EgoCore,app/integrations/openemotion/injection_metrics.py,typing
EgoCore,app/integrations/openemotion/injection_metrics.py,datetime
EgoCore,app/integrations/openemotion/injection_metrics.py,json
